timestamp,can_id,data
0.000,0x123,00000000000000
0.050,0x123,01F40000000000
0.100,0x123,03E80000000000
0.150,0x123,05DC0000000000
0.200,0x123,07D00000000000
0.250,0x123,09C40000000000
0.300,0x123,0BB80000000000
0.350,0x123,0DAC0000000000
0.400,0x123,0FA00000000000
0.450,0x123,11940000000000
0.500,0x123,13880000000000
0.550,0x123,157C0000000000
0.600,0x123,15E00000000000
0.650,0x123,16440000000000
0.700,0x123,168E0000000000
0.750,0x123,16A80000000000
0.800,0x123,16BC0000000000
0.850,0x123,16D00000000000
0.900,0x123,16DA0000000000
0.950,0x123,16E40000000000
1.000,0x123,16E40000000000
1.050,0x123,16E40000000000
1.100,0x123,168E0000000000
1.150,0x123,15E00000000000
1.200,0x123,14B40000000000
1.250,0x123,12C00000000000
1.300,0x123,10680000000000
1.350,0x123,0E100000000000
1.400,0x123,0C1C0000000000
1.450,0x123,0A8C0000000000
1.500,0x123,09600000000000
1.550,0x123,08980000000000
1.600,0x123,08340000000000
1.650,0x123,07D00000000000
1.700,0x123,07D00000000000
1.750,0x123,08340000000000
1.800,0x123,08FC0000000000
1.850,0x123,0A280000000000
1.900,0x123,0BB80000000000
1.950,0x123,0D480000000000
2.000,0x123,0ED80000000000
