timestamp,can_id,data
0.000,0x200,000000000000012C
0.000,0x20C,0000000000000000
0.000,0x204,0000000000000001
0.000,0x208,0000000000000C30
0.050,0x200,0000000000030138
0.050,0x20C,0000000000140000
0.050,0x204,0000000000000001
0.050,0x208,0000000000000C30
0.100,0x200,0000000000050144
0.100,0x20C,0000000000280000
0.100,0x204,0000000000000001
0.100,0x208,0000000000000C30
0.150,0x200,0000000000080150
0.150,0x20C,00000000003C0000
0.150,0x204,0000000000000001
0.150,0x208,0000000000000C30
0.200,0x200,00000000000A015C
0.200,0x20C,0000000000500000
0.200,0x204,0000000000000001
0.200,0x208,0000000000000C30
0.250,0x200,00000000000D0168
0.250,0x20C,0000000000640000
0.250,0x204,0000000000000001
0.250,0x208,0000000000000C30
0.300,0x200,00000000000F0174
0.300,0x20C,0000000000780000
0.300,0x204,0000000000000001
0.300,0x208,0000000000000C30
0.350,0x200,0000000000120180
0.350,0x20C,00000000008C0000
0.350,0x204,0000000000000001
0.350,0x208,0000000000000C30
0.400,0x200,000000000014018C
0.400,0x20C,0000000000A00000
0.400,0x204,0000000000000001
0.400,0x208,0000000000000C30
0.450,0x200,0000000000160198
0.450,0x20C,0000000000B40000
0.450,0x204,0000000000000001
0.450,0x208,0000000000000C30
0.500,0x200,00000000001901A4
0.500,0x20C,0000000000C80000
0.500,0x204,0000000000000001
0.500,0x208,0000000000000C30
0.550,0x200,00000000001B01B0
0.550,0x20C,0000000000DC0000
0.550,0x204,0000000000000001
0.550,0x208,0000000000000C30
0.600,0x200,00000000001E01BC
0.600,0x20C,0000000000F00000
0.600,0x204,0000000000000001
0.600,0x208,0000000000000C30
0.650,0x200,00000000002101C8
0.650,0x20C,0000000001040000
0.650,0x204,0000000000000001
0.650,0x208,0000000000000C30
0.700,0x200,00000000002301D4
0.700,0x20C,0000000001180000
0.700,0x204,0000000000000001
0.700,0x208,0000000000000C30
0.750,0x200,00000000002601E0
0.750,0x20C,00000000012C0000
0.750,0x204,0000000000000001
0.750,0x208,0000000000000C30
0.800,0x200,00000000002801EC
0.800,0x20C,0000000001400000
0.800,0x204,0000000000000001
0.800,0x208,0000000000000C30
0.850,0x200,00000000002B01F8
0.850,0x20C,0000000001540000
0.850,0x204,0000000000000001
0.850,0x208,0000000000000C30
0.900,0x200,00000000002D0204
0.900,0x20C,0000000001680000
0.900,0x204,0000000000000001
0.900,0x208,0000000000000C30
0.950,0x200,0000000000300210
0.950,0x20C,00000000017C0000
0.950,0x204,0000000000000001
0.950,0x208,0000000000000C30
1.000,0x200,000000000032030C
1.000,0x20C,0000000001900000
1.000,0x204,0000000000000002
1.000,0x208,0000000000000C30
1.050,0x200,0000000000350324
1.050,0x20C,0000000001A40000
1.050,0x204,0000000000000002
1.050,0x208,0000000000000C30
1.100,0x200,000000000037033C
1.100,0x20C,0000000001B80000
1.100,0x204,0000000000000002
1.100,0x208,0000000000000C30
1.150,0x200,00000000003A0354
1.150,0x20C,0000000001CC0000
1.150,0x204,0000000000000002
1.150,0x208,0000000000000C30
1.200,0x200,00000000003C036C
1.200,0x20C,0000000001E00000
1.200,0x204,0000000000000002
1.200,0x208,0000000000000C30
1.250,0x200,00000000003F0384
1.250,0x20C,0000000001F40000
1.250,0x204,0000000000000002
1.250,0x208,0000000000000C30
1.300,0x200,000000000041039C
1.300,0x20C,0000000002080000
1.300,0x204,0000000000000002
1.300,0x208,0000000000000C30
1.350,0x200,00000000004403B4
1.350,0x20C,00000000021C0000
1.350,0x204,0000000000000002
1.350,0x208,0000000000000C30
1.400,0x200,00000000004603CC
1.400,0x20C,0000000002300000
1.400,0x204,0000000000000002
1.400,0x208,0000000000000C30
1.450,0x200,00000000004903E4
1.450,0x20C,0000000002440000
1.450,0x204,0000000000000002
1.450,0x208,0000000000000C30
1.500,0x200,00000000004B03FC
1.500,0x20C,0000000002580000
1.500,0x204,0000000000000002
1.500,0x208,0000000000000C30
1.550,0x200,00000000004E0414
1.550,0x20C,00000000026C0000
1.550,0x204,0000000000000002
1.550,0x208,0000000000000C30
1.600,0x200,000000000050042C
1.600,0x20C,0000000002800000
1.600,0x204,0000000000000002
1.600,0x208,0000000000000C30
1.650,0x200,0000000000530444
1.650,0x20C,0000000002940000
1.650,0x204,0000000000000002
1.650,0x208,0000000000000C30
1.700,0x200,000000000055045C
1.700,0x20C,0000000002A80000
1.700,0x204,0000000000000002
1.700,0x208,0000000000000C30
1.750,0x200,0000000000580474
1.750,0x20C,0000000002BC0000
1.750,0x204,0000000000000002
1.750,0x208,0000000000000C30
1.800,0x200,00000000005A048C
1.800,0x20C,0000000002D00000
1.800,0x204,0000000000000002
1.800,0x208,0000000000000C30
1.850,0x200,00000000005D04A4
1.850,0x20C,0000000002E40000
1.850,0x204,0000000000000002
1.850,0x208,0000000000000C30
1.900,0x200,00000000005F04BC
1.900,0x20C,0000000002F80000
1.900,0x204,0000000000000002
1.900,0x208,0000000000000C30
