timestamp,can_id,data
0.000,0x123,12340000000000
0.100,0x123,23450000000000
0.200,0x123,34560000000000
0.300,0x123,45670000000000
0.400,0x123,56780000000000
0.500,0x123,67890000000000
0.600,0x123,789A0000000000
0.700,0x123,89AB0000000000
0.800,0x123,9ABC0000000000
0.900,0x123,ABCD0000000000
1.000,0x123,BCDE0000000000
1.100,0x123,CDEF0000000000
1.200,0x123,DEF00000000000
1.300,0x123,EF010000000000
1.400,0x123,F0120000000000
1.500,0x123,01230000000000
1.600,0x123,12340000000000
1.700,0x123,23450000000000
1.800,0x123,34560000000000
1.900,0x123,45670000000000
2.000,0x123,56780000000000
2.100,0x123,67890000000000
2.200,0x123,789A0000000000
2.300,0x123,89AB0000000000
2.400,0x123,9ABC0000000000
2.500,0x123,ABCD0000000000
2.600,0x123,BCDE0000000000
2.700,0x123,CDEF0000000000
2.800,0x123,DEF00000000000
2.900,0x123,EF010000000000
3.000,0x123,F0120000000000
3.100,0x123,01230000000000
3.200,0x123,12340000000000
3.300,0x123,23450000000000
3.400,0x123,34560000000000
3.500,0x123,45670000000000
3.600,0x123,56780000000000
3.700,0x123,67890000000000
3.800,0x123,789A0000000000
3.900,0x123,89AB0000000000
